,Date :,7/5/2022 12:07,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220606_1,VF070522_103958,day0_trial1,Chamber1,,,Sound 1,12,9.1,1.76,30.33,39.13,0,313
220606_1,VF070522_103958,day0_trial1,Chamber1,,,Sound 2,15,10.7,2.07,35.67,19.97,0,220
220606_1,VF070522_103958,day0_trial1,Chamber1,,,Sound 3,20,21.267,4.12,70.89,6.25,0,72
220606_1,VF070522_103958,day0_trial1,Chamber1,,,Shock 1,0,0,0,0,499.32,9,1811
220606_1,VF070522_103958,day0_trial1,Chamber1,,,Shock 2,0,0,0,0,464.7,0,1291
220606_1,VF070522_103958,day0_trial1,Chamber1,,,Shock 3,0,0,0,0,516.78,5,1502
,,,,,,,,,,,,,
220606_2,VF070522_103958,day0_trial1,Chamber 2,,,Sound 1,0,0,0,0,325.74,0,1173
220606_2,VF070522_103958,day0_trial1,Chamber 2,,,Sound 2,5,5.4,1.05,18,114.46,0,664
220606_2,VF070522_103958,day0_trial1,Chamber 2,,,Sound 3,10,20.867,4.04,69.56,13.14,0,185
220606_2,VF070522_103958,day0_trial1,Chamber 2,,,Shock 1,0,0,0,0,1082.3,100,4633
220606_2,VF070522_103958,day0_trial1,Chamber 2,,,Shock 2,0,0,0,0,1255.87,111,4500
220606_2,VF070522_103958,day0_trial1,Chamber 2,,,Shock 3,0,0,0,0,910.15,0,1903
,,,,,,,,,,,,,
220606_3,VF070522_105247,day0_trial2,Chamber1,,,Sound 1,3,1.7,0.33,5.67,105.41,0,985
220606_3,VF070522_105247,day0_trial2,Chamber1,,,Sound 2,7,4.767,0.92,15.89,37.24,0,308
220606_3,VF070522_105247,day0_trial2,Chamber1,,,Sound 3,13,11.067,2.14,36.89,23.08,0,405
220606_3,VF070522_105247,day0_trial2,Chamber1,,,Shock 1,0,0,0,0,550.78,11,2656
220606_3,VF070522_105247,day0_trial2,Chamber1,,,Shock 2,0,0,0,0,363.83,44,926
220606_3,VF070522_105247,day0_trial2,Chamber1,,,Shock 3,0,0,0,0,334.22,0,846
,,,,,,,,,,,,,
220606_4,VF070522_105247,day0_trial2,Chamber 2,,,Sound 1,0,0,0,0,339.33,0,1452
220606_4,VF070522_105247,day0_trial2,Chamber 2,,,Sound 2,3,1.233,0.24,4.11,155.69,0,656
220606_4,VF070522_105247,day0_trial2,Chamber 2,,,Sound 3,17,9.567,1.85,31.89,36.2,0,347
220606_4,VF070522_105247,day0_trial2,Chamber 2,,,Shock 1,0,0,0,0,1292.95,379,3396
220606_4,VF070522_105247,day0_trial2,Chamber 2,,,Shock 2,0,0,0,0,1044.22,91,2735
220606_4,VF070522_105247,day0_trial2,Chamber 2,,,Shock 3,0,0,0,0,798.9,1,1964
,,,,,,,,,,,,,
220606_5,VF070522_110441,day0_trial3,Chamber1,,,Sound 1,0,0,0,0,96.64,0,677
220606_5,VF070522_110441,day0_trial3,Chamber1,,,Sound 2,24,14.933,2.89,49.78,11.78,0,104
220606_5,VF070522_110441,day0_trial3,Chamber1,,,Sound 3,30,18.867,3.66,62.89,8.06,0,102
220606_5,VF070522_110441,day0_trial3,Chamber1,,,Shock 1,0,0,0,0,433.8,15,1990
220606_5,VF070522_110441,day0_trial3,Chamber1,,,Shock 2,0,0,0,0,452.13,0,3053
220606_5,VF070522_110441,day0_trial3,Chamber1,,,Shock 3,0,0,0,0,371.7,0,1231
,,,,,,,,,,,,,
220606_6,VF070522_110441,day0_trial3,Chamber 2,,,Sound 1,0,0,0,0,369.2,0,1461
220606_6,VF070522_110441,day0_trial3,Chamber 2,,,Sound 2,2,1.267,0.25,4.22,155.46,0,727
220606_6,VF070522_110441,day0_trial3,Chamber 2,,,Sound 3,10,9.633,1.87,32.11,48.12,0,571
220606_6,VF070522_110441,day0_trial3,Chamber 2,,,Shock 1,0,0,0,0,1302.1,148,3840
220606_6,VF070522_110441,day0_trial3,Chamber 2,,,Shock 2,0,0,0,0,1115.93,110,3145
220606_6,VF070522_110441,day0_trial3,Chamber 2,,,Shock 3,0,0,0,0,1220.1,69,2909
,,,,,,,,,,,,,
220606_7,VF070522_111607,day0_trial4,Chamber1,,,Sound 1,4,1.9,0.37,6.33,99.74,0,783
220606_7,VF070522_111607,day0_trial4,Chamber1,,,Sound 2,12,9.9,1.92,33,26.56,0,300
220606_7,VF070522_111607,day0_trial4,Chamber1,,,Sound 3,13,25.767,4.99,85.89,2.81,0,71
220606_7,VF070522_111607,day0_trial4,Chamber1,,,Shock 1,0,0,0,0,438.97,0,1643
220606_7,VF070522_111607,day0_trial4,Chamber1,,,Shock 2,0,0,0,0,410.77,0,1764
220606_7,VF070522_111607,day0_trial4,Chamber1,,,Shock 3,0,0,0,0,356.53,0,956
,,,,,,,,,,,,,
220606_8,VF070522_111607,day0_trial4,Chamber 2,,,Sound 1,0,0,0,0,240.06,0,1145
220606_8,VF070522_111607,day0_trial4,Chamber 2,,,Sound 2,11,10.5,2.03,35,68.48,0,595
220606_8,VF070522_111607,day0_trial4,Chamber 2,,,Sound 3,7,22.8,4.42,76,16.35,0,391
220606_8,VF070522_111607,day0_trial4,Chamber 2,,,Shock 1,0,0,0,0,1113.63,102,3161
220606_8,VF070522_111607,day0_trial4,Chamber 2,,,Shock 2,0,0,0,0,1083.93,68,3971
220606_8,VF070522_111607,day0_trial4,Chamber 2,,,Shock 3,0,0,0,0,981.55,0,3215
,,,,,,,,,,,,,
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Sound 1,12,5.467,1.06,18.22,60.33,0,447
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Sound 2,14,11.367,2.2,37.89,27.91,0,497
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Sound 3,17,20.133,3.9,67.11,7.8,0,139
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Shock 1,0,0,0,0,402.52,4,2043
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Shock 2,0,0,0,0,284.12,0,1178
220606_9,VF070522_112813,day0_trial5,Chamber1,,,Shock 3,0,0,0,0,314.12,1,1273
,,,,,,,,,,,,,
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Sound 1,0,0,0,0,410.02,1,1594
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Sound 2,11,9.733,1.89,32.44,134.65,0,1355
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Sound 3,15,16.4,3.18,54.67,33.19,0,433
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Shock 1,0,0,0,0,1496.28,230,4831
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Shock 2,0,0,0,0,1260.7,203,2912
220606_10,VF070522_112813,day0_trial5,Chamber 2,,,Shock 3,0,0,0,0,1387.97,0,4323
,,,,,,,,,,,,,
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Sound 1,24,20.3,3.93,67.67,18.2,0,709
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Sound 2,18,22.767,4.41,75.89,6.08,0,124
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Sound 3,3,29.9,5.79,99.67,0.21,0,22
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Shock 1,0,0,0,0,188.43,0,728
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Shock 2,0,0,0,0,389.03,0,2213
220606_11,VF070522_113942,day0_trial6,Chamber1,,,Shock 3,0,0,0,0,370.43,0,1601
,,,,,,,,,,,,,
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Sound 1,0,0,0,0,298.64,1,1430
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Sound 2,5,2.8,0.54,9.33,184.45,0,994
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Sound 3,12,22.3,4.32,74.33,11.01,0,177
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Shock 1,0,0,0,0,1383.33,14,4261
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Shock 2,0,0,0,0,1072.1,60,3741
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Shock 3,0,0,0,0,1028.52,0,3108
,,,,,,,,,,,,,
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Sound 1,3,1.633,0.32,5.44,65.64,0,427
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Sound 2,12,18.1,3.51,60.33,18.49,0,638
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Sound 3,16,26.4,5.12,88,3.5,0,186
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Shock 1,0,0,0,0,508.3,0,2993
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Shock 2,0,0,0,0,372.85,21,978
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Shock 3,0,0,0,0,371.72,0,1671
,,,,,,,,,,,,,
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Sound 1,7,4.3,0.83,14.33,151.26,0,1232
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Sound 2,11,8.833,1.71,29.44,101.86,0,707
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Sound 3,10,16.8,3.26,56,27.44,0,306
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Shock 1,0,0,0,0,969.93,2,3498
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Shock 2,0,0,0,0,743.58,37,2288
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Shock 3,0,0,0,0,765.18,8,1848
