,Date :,7/15/2021 13:11,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210503_1,VF052421_110556,day0_1,Chamber1,,,Sound 1,4,29.9,5.79,99.67,0.21,0,24
210503_1,VF052421_110556,day0_1,Chamber1,,,Sound 2,2,29.967,5.81,99.89,0.13,0,19
210503_1,VF052421_110556,day0_1,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210503_1,VF052421_110556,day0_1,Chamber1,,,Shock 1,2,1.7,0.33,85,2.08,0,23
210503_1,VF052421_110556,day0_1,Chamber1,,,Shock 2,1,1.767,0.34,88.33,1.62,0,29
210503_1,VF052421_110556,day0_1,Chamber1,,,Shock 3,1,2,0.39,100,0.92,0,12
,,,,,,,,,,,,,
210503_2,VF052421_110556,day0_1,Chamber 2,,,Sound 1,10,28.267,5.48,94.22,1.72,0,30
210503_2,VF052421_110556,day0_1,Chamber 2,,,Sound 2,1,30,5.81,100,0.2,0,14
210503_2,VF052421_110556,day0_1,Chamber 2,,,Sound 3,1,30,5.81,100,0.19,0,12
210503_2,VF052421_110556,day0_1,Chamber 2,,,Shock 1,1,0.333,0.06,16.67,13.87,0,107
210503_2,VF052421_110556,day0_1,Chamber 2,,,Shock 2,2,0.667,0.13,33.33,12.75,0,78
210503_2,VF052421_110556,day0_1,Chamber 2,,,Shock 3,1,0.6,0.12,30,14.07,0,75
,,,,,,,,,,,,,
210503_3,VF052421_111630,day0_2,Chamber1,,,Sound 1,6,28.833,5.59,96.11,0.97,0,66
210503_3,VF052421_111630,day0_2,Chamber1,,,Sound 2,1,30,5.81,100,0.05,0,6
210503_3,VF052421_111630,day0_2,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210503_3,VF052421_111630,day0_2,Chamber1,,,Shock 1,3,1.3,0.25,65,17.8,0,270
210503_3,VF052421_111630,day0_2,Chamber1,,,Shock 2,2,0.967,0.19,48.33,22.03,0,179
210503_3,VF052421_111630,day0_2,Chamber1,,,Shock 3,0,0,0,0,33.37,0,284
,,,,,,,,,,,,,
210503_4,VF052421_111630,day0_2,Chamber 2,,,Sound 1,2,29.967,5.81,99.89,0.24,0,16
210503_4,VF052421_111630,day0_2,Chamber 2,,,Sound 2,1,30,5.81,100,0.09,0,6
210503_4,VF052421_111630,day0_2,Chamber 2,,,Sound 3,1,30,5.81,100,0.02,0,7
210503_4,VF052421_111630,day0_2,Chamber 2,,,Shock 1,1,2,0.39,100,1.15,0,11
210503_4,VF052421_111630,day0_2,Chamber 2,,,Shock 2,2,1.967,0.38,98.33,1.87,0,16
210503_4,VF052421_111630,day0_2,Chamber 2,,,Shock 3,1,2,0.39,100,1.4,0,13
,,,,,,,,,,,,,
210503_5,VF052421_112842,day0_3,Chamber1,,,Sound 1,6,28.867,5.59,96.22,1.31,0,88
210503_5,VF052421_112842,day0_3,Chamber1,,,Sound 2,2,29.867,5.79,99.56,0.24,0,75
210503_5,VF052421_112842,day0_3,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210503_5,VF052421_112842,day0_3,Chamber1,,,Shock 1,2,1.167,0.23,58.33,8.58,0,149
210503_5,VF052421_112842,day0_3,Chamber1,,,Shock 2,3,1.8,0.35,90,4.28,0,70
210503_5,VF052421_112842,day0_3,Chamber1,,,Shock 3,2,1.1,0.21,55,12.73,0,121
,,,,,,,,,,,,,
210503_6,VF052421_112842,day0_3,Chamber 2,,,Sound 1,5,29.233,5.67,97.44,1.14,0,44
210503_6,VF052421_112842,day0_3,Chamber 2,,,Sound 2,1,30,5.81,100,0.18,0,8
210503_6,VF052421_112842,day0_3,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,1
210503_6,VF052421_112842,day0_3,Chamber 2,,,Shock 1,1,1,0.19,50,5.92,0,50
210503_6,VF052421_112842,day0_3,Chamber 2,,,Shock 2,2,1.1,0.21,55,6.8,0,26
210503_6,VF052421_112842,day0_3,Chamber 2,,,Shock 3,4,1.767,0.34,88.33,4.38,0,31
,,,,,,,,,,,,,
210503_7,VF052421_114026,day0_4,Chamber1,,,Sound 1,5,28.9,5.6,96.33,1.73,0,183
210503_7,VF052421_114026,day0_4,Chamber1,,,Sound 2,1,29.6,5.74,98.67,1.11,0,154
210503_7,VF052421_114026,day0_4,Chamber1,,,Sound 3,2,29.967,5.81,99.89,0.16,0,18
210503_7,VF052421_114026,day0_4,Chamber1,,,Shock 1,1,0.733,0.14,36.67,21.18,0,183
210503_7,VF052421_114026,day0_4,Chamber1,,,Shock 2,2,1,0.19,50,5.77,0,53
210503_7,VF052421_114026,day0_4,Chamber1,,,Shock 3,2,1.733,0.34,86.67,8.93,0,200
,,,,,,,,,,,,,
210503_8,VF052421_114026,day0_4,Chamber 2,,,Sound 1,5,29.7,5.76,99,0.85,0,37
210503_8,VF052421_114026,day0_4,Chamber 2,,,Sound 2,2,29.967,5.81,99.89,0.23,0,19
210503_8,VF052421_114026,day0_4,Chamber 2,,,Sound 3,1,30,5.81,100,0.03,0,6
210503_8,VF052421_114026,day0_4,Chamber 2,,,Shock 1,3,1.7,0.33,85,3.12,0,27
210503_8,VF052421_114026,day0_4,Chamber 2,,,Shock 2,3,1.667,0.32,83.33,3.07,0,23
210503_8,VF052421_114026,day0_4,Chamber 2,,,Shock 3,2,1.967,0.38,98.33,1.87,0,18
,,,,,,,,,,,,,
210503_9,VF052421_115226,day0_5,Chamber1,,,Sound 1,7,27.8,5.39,92.67,4.19,0,237
210503_9,VF052421_115226,day0_5,Chamber1,,,Sound 2,6,28.633,5.55,95.44,2.6,0,408
210503_9,VF052421_115226,day0_5,Chamber1,,,Sound 3,1,30,5.81,100,0,0,2
210503_9,VF052421_115226,day0_5,Chamber1,,,Shock 1,2,0.967,0.19,48.33,23.18,0,245
210503_9,VF052421_115226,day0_5,Chamber1,,,Shock 2,3,1.833,0.36,91.67,3.88,0,30
210503_9,VF052421_115226,day0_5,Chamber1,,,Shock 3,2,1.367,0.26,68.33,22.23,0,309
,,,,,,,,,,,,,
210503_10,VF052421_115226,day0_5,Chamber 2,,,Sound 1,1,30,5.81,100,0.54,0,10
210503_10,VF052421_115226,day0_5,Chamber 2,,,Sound 2,1,30,5.81,100,0.3,0,12
210503_10,VF052421_115226,day0_5,Chamber 2,,,Sound 3,1,30,5.81,100,0.07,0,7
210503_10,VF052421_115226,day0_5,Chamber 2,,,Shock 1,1,2,0.39,100,1.23,0,11
210503_10,VF052421_115226,day0_5,Chamber 2,,,Shock 2,2,1.4,0.27,70,2.9,0,22
210503_10,VF052421_115226,day0_5,Chamber 2,,,Shock 3,2,1.967,0.38,98.33,2.65,0,17
,,,,,,,,,,,,,
210503_11,VF052421_120238,day0_6,Chamber1,,,Sound 1,5,28.033,5.43,93.44,2.22,0,152
210503_11,VF052421_120238,day0_6,Chamber1,,,Sound 2,1,30,5.81,100,0.01,0,3
210503_11,VF052421_120238,day0_6,Chamber1,,,Sound 3,1,30,5.81,100,0.01,0,3
210503_11,VF052421_120238,day0_6,Chamber1,,,Shock 1,1,2,0.39,100,0.6,0,8
210503_11,VF052421_120238,day0_6,Chamber1,,,Shock 2,2,1.9,0.37,95,1.62,0,19
210503_11,VF052421_120238,day0_6,Chamber1,,,Shock 3,1,1.167,0.23,58.33,38.88,0,688
,,,,,,,,,,,,,
210503_12,VF052421_120238,day0_6,Chamber 2,,,Sound 1,1,30,5.81,100,0.28,0,12
210503_12,VF052421_120238,day0_6,Chamber 2,,,Sound 2,1,30,5.81,100,0.23,0,11
210503_12,VF052421_120238,day0_6,Chamber 2,,,Sound 3,1,30,5.81,100,0.47,0,13
210503_12,VF052421_120238,day0_6,Chamber 2,,,Shock 1,2,1.967,0.38,98.33,2.08,0,18
210503_12,VF052421_120238,day0_6,Chamber 2,,,Shock 2,2,1.967,0.38,98.33,2.43,0,19
210503_12,VF052421_120238,day0_6,Chamber 2,,,Shock 3,2,1.933,0.37,96.67,1.75,0,16
,,,,,,,,,,,,,
210503_13,VF052421_121438,day0_7,Chamber1,,,Sound 1,6,28.2,5.47,94,3.62,0,203
210503_13,VF052421_121438,day0_7,Chamber1,,,Sound 2,1,30,5.81,100,0.17,0,13
210503_13,VF052421_121438,day0_7,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
210503_13,VF052421_121438,day0_7,Chamber1,,,Shock 1,0,0,0,0,23.88,0,213
210503_13,VF052421_121438,day0_7,Chamber1,,,Shock 2,1,1.233,0.24,61.67,32.78,0,384
210503_13,VF052421_121438,day0_7,Chamber1,,,Shock 3,2,0.7,0.14,35,18.57,0,195
,,,,,,,,,,,,,
210503_14,VF052421_121438,day0_7,Chamber 2,,,Sound 1,3,29.733,5.76,99.11,0.94,0,22
210503_14,VF052421_121438,day0_7,Chamber 2,,,Sound 2,6,29.833,5.78,99.44,0.69,0,24
210503_14,VF052421_121438,day0_7,Chamber 2,,,Sound 3,3,29.533,5.72,98.44,0.59,0,32
210503_14,VF052421_121438,day0_7,Chamber 2,,,Shock 1,2,1.9,0.37,95,1.73,0,21
210503_14,VF052421_121438,day0_7,Chamber 2,,,Shock 2,1,2,0.39,100,1.78,0,12
210503_14,VF052421_121438,day0_7,Chamber 2,,,Shock 3,1,2,0.39,100,1.93,0,13
,,,,,,,,,,,,,
210503_15,VF052421_122554,day0_8,Chamber1,,,Sound 1,1,30,5.81,100,0.01,0,8
210503_15,VF052421_122554,day0_8,Chamber1,,,Sound 2,1,30,5.81,100,0.01,0,4
210503_15,VF052421_122554,day0_8,Chamber1,,,Sound 3,1,30,5.81,100,0,0,1
210503_15,VF052421_122554,day0_8,Chamber1,,,Shock 1,1,1,0.19,50,19.77,0,177
210503_15,VF052421_122554,day0_8,Chamber1,,,Shock 2,0,0,0,0,52.5,0,474
210503_15,VF052421_122554,day0_8,Chamber1,,,Shock 3,2,1.4,0.27,70,31.47,0,306
,,,,,,,,,,,,,
210503_16,VF052421_122554,day0_8,Chamber 2,,,Sound 1,2,29.967,5.81,99.89,0.4,0,18
210503_16,VF052421_122554,day0_8,Chamber 2,,,Sound 2,3,29.933,5.8,99.78,0.45,0,16
210503_16,VF052421_122554,day0_8,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,1
210503_16,VF052421_122554,day0_8,Chamber 2,,,Shock 1,1,2,0.39,100,1.65,0,11
210503_16,VF052421_122554,day0_8,Chamber 2,,,Shock 2,2,1.967,0.38,98.33,1.7,0,26
210503_16,VF052421_122554,day0_8,Chamber 2,,,Shock 3,1,2,0.39,100,0.98,0,9
,,,,,,,,,,,,,
210503_17,VF052421_123710,day0_9,Chamber1,,,Sound 1,6,27.967,5.42,93.22,3.32,0,236
210503_17,VF052421_123710,day0_9,Chamber1,,,Sound 2,1,30,5.81,100,0.01,0,8
210503_17,VF052421_123710,day0_9,Chamber1,,,Sound 3,1,30,5.81,100,0.07,0,12
210503_17,VF052421_123710,day0_9,Chamber1,,,Shock 1,2,1.267,0.25,63.33,10.52,0,117
210503_17,VF052421_123710,day0_9,Chamber1,,,Shock 2,3,1.7,0.33,85,9.17,0,172
210503_17,VF052421_123710,day0_9,Chamber1,,,Shock 3,3,1.7,0.33,85,9.05,0,134
,,,,,,,,,,,,,
210503_18,VF052421_123710,day0_9,Chamber 2,,,Sound 1,1,30,5.81,100,0.28,0,14
210503_18,VF052421_123710,day0_9,Chamber 2,,,Sound 2,1,30,5.81,100,0.02,0,2
210503_18,VF052421_123710,day0_9,Chamber 2,,,Sound 3,2,29.967,5.81,99.89,0.19,0,16
210503_18,VF052421_123710,day0_9,Chamber 2,,,Shock 1,1,2,0.39,100,1.15,0,13
210503_18,VF052421_123710,day0_9,Chamber 2,,,Shock 2,1,2,0.39,100,3.02,0,14
210503_18,VF052421_123710,day0_9,Chamber 2,,,Shock 3,2,1.967,0.38,98.33,1.83,0,23
,,,,,,,,,,,,,
210503_19,VF052421_124853,day0_10,Chamber1,,,Sound 1,8,26.9,5.21,89.67,4.61,0,463
210503_19,VF052421_124853,day0_10,Chamber1,,,Sound 2,3,29.267,5.67,97.56,0.8,0,185
210503_19,VF052421_124853,day0_10,Chamber1,,,Sound 3,2,29.967,5.81,99.89,0.07,0,19
210503_19,VF052421_124853,day0_10,Chamber1,,,Shock 1,2,0.7,0.14,35,89.98,0,1131
210503_19,VF052421_124853,day0_10,Chamber1,,,Shock 2,2,1.133,0.22,56.67,6.3,0,76
210503_19,VF052421_124853,day0_10,Chamber1,,,Shock 3,1,1.2,0.23,60,6.43,0,101
,,,,,,,,,,,,,
210503_20,VF052421_124853,day0_10,Chamber 2,,,Sound 1,1,30,5.81,100,0.17,0,11
210503_20,VF052421_124853,day0_10,Chamber 2,,,Sound 2,1,30,5.81,100,0.09,0,6
210503_20,VF052421_124853,day0_10,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,1
210503_20,VF052421_124853,day0_10,Chamber 2,,,Shock 1,2,1.933,0.37,96.67,2.95,0,24
210503_20,VF052421_124853,day0_10,Chamber 2,,,Shock 2,2,1.967,0.38,98.33,3.4,0,16
210503_20,VF052421_124853,day0_10,Chamber 2,,,Shock 3,1,1.5,0.29,75,1.78,0,18
,,,,,,,,,,,,,
210503_21,VF052421_130021,day0_11,Chamber1,,,Sound 1,6,29.5,5.72,98.33,0.99,0,132
210503_21,VF052421_130021,day0_11,Chamber1,,,Sound 2,1,30,5.81,100,0.02,0,2
210503_21,VF052421_130021,day0_11,Chamber1,,,Sound 3,1,30,5.81,100,0.02,0,5
210503_21,VF052421_130021,day0_11,Chamber1,,,Shock 1,2,1.4,0.27,70,11.42,0,197
210503_21,VF052421_130021,day0_11,Chamber1,,,Shock 2,1,0.9,0.17,45,8.03,0,105
210503_21,VF052421_130021,day0_11,Chamber1,,,Shock 3,1,0.633,0.12,31.67,119.05,0,1198
,,,,,,,,,,,,,
210503_22,VF052421_130021,day0_11,Chamber 2,,,Sound 1,3,29.933,5.8,99.78,0.84,0,17
210503_22,VF052421_130021,day0_11,Chamber 2,,,Sound 2,2,29.967,5.81,99.89,0.12,0,17
210503_22,VF052421_130021,day0_11,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,2
210503_22,VF052421_130021,day0_11,Chamber 2,,,Shock 1,1,2,0.39,100,1.88,0,12
210503_22,VF052421_130021,day0_11,Chamber 2,,,Shock 2,2,1.4,0.27,70,4.22,0,20
210503_22,VF052421_130021,day0_11,Chamber 2,,,Shock 3,3,1.6,0.31,80,4.15,0,27
,,,,,,,,,,,,,
210503_15,VF052421_131209,day0_8re,Chamber1,,,Sound 1,7,25.767,4.99,85.89,5.35,0,306
210503_15,VF052421_131209,day0_8re,Chamber1,,,Sound 2,5,29.8,5.78,99.33,0.44,0,56
210503_15,VF052421_131209,day0_8re,Chamber1,,,Sound 3,4,27.267,5.28,90.89,4.88,0,336
210503_15,VF052421_131209,day0_8re,Chamber1,,,Shock 1,2,1.033,0.2,51.67,24.07,0,228
210503_15,VF052421_131209,day0_8re,Chamber1,,,Shock 2,1,1.533,0.3,76.67,12.28,0,229
210503_15,VF052421_131209,day0_8re,Chamber1,,,Shock 3,1,1.867,0.36,93.33,5.13,0,127
,,,,,,,,,,,,,
210503_16,VF052421_131209,day0_8re,Chamber 2,,,Sound 1,3,26.9,5.21,89.67,1201.77,0,44810
210503_16,VF052421_131209,day0_8re,Chamber 2,,,Sound 2,1,30,5.81,100,0,0,0
210503_16,VF052421_131209,day0_8re,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
210503_16,VF052421_131209,day0_8re,Chamber 2,,,Shock 1,1,2,0.39,100,0,0,0
210503_16,VF052421_131209,day0_8re,Chamber 2,,,Shock 2,1,2,0.39,100,0,0,0
210503_16,VF052421_131209,day0_8re,Chamber 2,,,Shock 3,1,2,0.39,100,0,0,0
