QA,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,Genotype,Sex,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,Age_Handling
,1,original_2019_scans,In House,190610_1:1,Control,190610_1,APOE44,male,4/2/14,30.7,8/8/15,16.2,16,1.35,,190610_1:1,N57437,N57439,,,,16.2,Control,
,2,original_2019_scans,In House,190610_6:1,Control,190610_6,APOE44,female,4/2/14,25.6,8/8/15,16.2,16,1.35,,190610_6:1,N57442,N57443,140,28,,16.2,Control,
,3,original_2019_scans,In House,190610_2:1,Control,190610_2,APOE44,male,4/2/14,32.1,8/8/15,16.2,16,1.35,,190610_2:1,N57446,N57445,140,25,,16.2,Control,
,4,original_2019_scans,In House,190610_7:1,Control,190610_7,APOE44,female,4/2/14,28.7,8/8/15,16.2,16,1.35,,190610_7:1,N57447,N57448,115,26,,16.2,Control,
,5,original_2019_scans,In House,190610_3:1,Control,190610_3,APOE44,male,4/2/14,31.6,8/8/15,16.2,16,1.35,,190610_3:1,N57449,N57450,115,26,,16.2,Control,
,6,original_2019_scans,In House,190610_8:1,Control,190610_8,APOE44,female,4/2/14,25.7,8/8/15,16.2,16,1.35,,190610_8:1,N57451,N57517,117,28,,16.2,Control,
,7,original_2019_scans,In House,190715_7:1,Control,190715_7,APOE22,female,5/25/14,27.5,9/12/15,15.57,16,1.3,,190715_7:1,N57496,N57497,102,22,,15.57,Control,
,8,original_2019_scans,In House,190715_6:1,Control,190715_6,APOE22,male,5/25/14,30.3,9/12/15,15.57,16,1.3,,190715_6:1,N57498,N57499,115,23,,15.57,Control,
,9,original_2019_scans,In House,190715_8:1,Control,190715_8,APOE22,female,5/25/14,28,9/12/15,15.57,16,1.3,,190715_8:1,N57500,N57501,108,22,,15.57,Control,
,10,original_2019_scans,In House,190715_9:1,Control,190715_9,APOE22,male,5/25/14,29.3,9/12/15,15.57,16,1.3,,190715_9:1,N57502,N57503,114,24,,15.57,Control,
,11,original_2019_scans,In House,190715_10:1,Control,190715_10,APOE22,male,4/25/14,32.3,9/12/15,16.57,17,1.38,,190715_10:1,N57513,N57514,112,24,,16.57,Control,
,12,original_2019_scans,In House,190610_4:1,Control,190610_4,APOE44,male,4/2/14,30.6,8/8/15,16.2,16,1.35,,190610_4:1,N57515,N57516,114,26,,16.2,Control,
,13,original_2019_scans,In House,190610_9:1,Control,190610_9,APOE44,female,4/2/14,24.6,8/8/15,16.2,16,1.35,,190610_9:1,N57518,N57519,114,28,,16.2,Control,
,14,original_2019_scans,In House,190610_5:1,Control,190610_5,APOE44,male,4/2/14,32.2,8/8/15,16.2,16,1.35,,190610_5:1,N57520,N57521,111,26,,16.2,Control,
,15,original_2019_scans,In House,190610_10:1,Control,190610_10,APOE44,female,4/2/14,29.6,8/8/15,16.2,16,1.35,,190610_10:1,N57522,N57523,111,26,,16.2,Control,
,16,original_2019_scans,In House,190715_1:1,Control,190715_1,APOE33,male,4/25/14,32.7,9/12/15,16.57,17,1.38, ,190715_1:1,N57546,N57547,113,26, ,16.57,Control,
,17,original_2019_scans,In House,190715_2:1,Control,190715_2,APOE33,male,4/25/14,36.9,9/12/15,16.57,17,1.38, ,190715_2:1,N57548,N57549,113,26, ,16.57,Control,
,18,original_2019_scans,In House,190715_3:1,Control,190715_3,APOE33,male,4/25/14,32.4,9/12/15,16.57,17,1.38, ,190715_3:1,N57550,N57551,116,26, ,16.57,Control,
,19,original_2019_scans,In House,190715_5:1,Control,190715_5,APOE22,male,5/25/14,32,9/12/15,17.73,18,1.48,,190715_5:1,N57552,N57553,115,27,,17.73,Control,
,20,original_2019_scans,In House,190715_4:1,Control,190715_4,HN,female,3/20/14,27.8,9/12/15,17.73,18,1.48,,190715_4:1,N57554,N57555,114,26,,17.73,Control,
,21,original_2019_scans,In House,190909_9:1,Control,190909_9,HN,male,4/25/14,33.4,10/11/15,17.53,18,1.46,,190909_9:1,N57559,N57560,149,26,,17.53,Control,
,22,original_2019_scans,In House,190909_10:1,Control,190909_10,APOE33,male,4/25/14,36.4,10/11/15,17.53,18,1.46, ,190909_10:1,N57580,N57581,125,27, ,17.53,Control,
,23,original_2019_scans,In House,190909_11:1,Control,190909_11,APOE33,female,4/25/14,36.2,10/11/15,17.53,18,1.46, ,190909_11:1,N57582,N57583,108,24, ,17.53,Control,
,24,original_2019_scans,In House,190909_12:1,Control,190909_12,APOE33,female,4/25/14,30.4,10/11/15,17.53,18,1.46, ,190909_12:1,N57584,N57585,108,24, ,17.53,Control,
,24,original_2019_scans,In House,190909_13:1,Control,190909_13,APOE33,male,4/25/14,34,10/11/15,17.53,18,1.46, ,190909_13:1,N57587,N57588,114,25, ,17.53,Control,
,25,original_2019_scans,In House,190909_14:1,Control,190909_14,APOE33,female,4/25/14,28.1,10/9/15,17.47,17,1.46, ,190909_14:1,N57590,N57591,111,17, ,17.47,Control,
,26,original_2019_scans,In House,191028_7:1,Control,191028_7,APOE22,male,8/25/14,28,12/3/15,15.27,15,1.27,,191028_7:1,N57692,N57693,108,24,,15.27,Control,
,27,original_2019_scans,In House,191028_3:1,Control,191028_3,APOE22,female,8/25/14,22.3,12/3/15,15.27,15,1.27,,191028_3:1,N57694,N57695,105,24,,15.27,Control,
,28,original_2019_scans,In House,191028_6:1,Control,191028_6,APOE22,male,8/25/14,30.3,12/3/15,15.27,15,1.27,,191028_6:1,N57700,N57701,120,26,,15.27,Control,
,29,original_2019_scans,In House,191028_4:1,Control,191028_4,APOE22,female,8/25/14,24,12/3/15,15.27,15,1.27,,191028_4:1,N57702,N57703,106,24,,15.27,Control,
,30,original_2019_scans,In House,191028_5:1,Control,191028_5,APOE22,female,8/25/14,22.5,12/3/15,15.27,15,1.27,,191028_5:1,N57709,N57710,106,24,,15.27,Control,
,I,1,In House,200331-14:0,Control,24,APOE44,male,9/11/14,32.2,4/23/16,19.4,19,1.62,TRUE,200331-14:1,N58302_m00-m48,N58301,115,26,,19.4,Control,
,I,2,In House,200331-15:0,Control,25,APOE44,male,9/11/14,34.1,4/23/16,19.4,19,1.62,TRUE,200331-15:1,N58305_m00-m48,N58306,126,25,,19.4,Control,
,I,3,In House,200331-16:0,Control,26,APOE44,male,11/5/14,33.4,4/23/16,17.6,18,1.47,TRUE,200331-16:1,N58303_m00-m48,N58304,119,26,,17.6,Control,
,I,4,In House,200331-17:0,Control,27,APOE44,female,9/11/14,25.7,4/23/16,19.4,19,1.62,TRUE,200331-17:1,N58309_m00-m48,N58308,110,24,,19.4,Control,
,I,5,In House,200331-18:0,Control,28,APOE44,male,9/11/14,32.2,4/23/16,19.4,19,1.62,TRUE,200331-18:1,N58310_m00-m48,N58311,110,26,,19.4,Control,
,I,6,In House,200331-20:0,Control,30,APOE44,male,9/11/14,31.9,4/23/16,19.4,19,1.62,TRUE,200331-20:1,N58355_m00-m48,N58358,109,27,,19.4,Control,
,I,7,In House,200302-10:0,Control,8,APOE22,male,10/1/14,33.2,4/23/16,18.73,19,1.56,TRUE,200302-10:1,N58344_m00-m48,N58348,104,25,,18.73,Control,
,I,8,In House,200302-11:0,Control,9,APOE22,male,10/1/14,34.8,4/23/16,18.73,19,1.56,TRUE,200302-11:1,N58346_m00-m48,N58349,116,25,,18.73,Control,
,I,9,In House,200302-12:0,Control,10,APOE22,male,10/1/14,36.5,4/23/16,18.73,19,1.56,TRUE,200302-12:1,N58350_m00-m48,N58356,111,25,,18.73,Control,
,II,1,In House,200302-3:0,Control,1,APOE22,male,10/22/14,31,5/7/16,18.5,19,1.54,TRUE,200302-3:1,N58394_m00-m48,N58395,112,28,,18.5,Control,
,II,2,In House,200302-4:0,Control,2,APOE22,male,10/22/14,30.8,5/7/16,18.5,19,1.54,TRUE,200302-4:1,N58396_m00-m48,N58397,111,28,,18.5,Control,
,II,3,In House,200302-5:0,Control,3,APOE22,male,10/22/14,31.5,5/7/16,18.5,19,1.54,TRUE,200302-5:1,N58398_m00-m48,N58399,112,27,,18.5,Control,
,II,4,In House,200302-6:0,Control,4,APOE22,female,10/22/14,27.6,5/7/16,18.5,19,1.54,TRUE,200302-6:1,N58359_m00-m48,N58360,112,26,,18.5,Control,
,II,5,In House,200302-7:0,Control,5,APOE22,female,10/22/14,27.3,5/7/16,18.5,19,1.54,TRUE,200302-7:1,N58361_m00-m48,N58362,109,26,,18.5,Control,
,II,6,In House,200302-8:0,Control,6,APOE22,female,10/22/14,27.5,5/7/16,18.5,19,1.54,TRUE,200302-8:1,N58404_m00-m48,N58405,107,27,18.5,18.5,Control,
,II,7,In House,200302-9:0,Control,7,APOE22,female,10/22/14,28,5/7/16,18.5,19,1.54,TRUE,200302-9:1,N58402_m00-m48,N58403,105,27,18.5,18.5,Control,
,III,1,In House,200331-1:0,Control,11,APOE22,female,11/23/14,25.8,5/7/16,17.47,17,1.46,TRUE,200331-1:1,N58516_m00-m48,N58517,97,24,17.47,17.47,Control,
,III,2,In House,200331-2:0,Control,12,APOE22,female,11/23/14,25.6,5/28/16,18.17,18,1.51,TRUE,200331-2:1,N58608_m00-m48,N58612,88,25,18.17,18.17,Control,
,III,3,In House,200331-3:0,Control,13,APOE22,female,11/23/14,26.9,5/28/16,18.17,18,1.51,TRUE,200331-3:1,,,,,18.17,18.17,Control,
,III,4,In House,200331-4:0,Control,14,APOE22,female,11/23/14,27,5/28/16,18.17,18,1.51,TRUE,200331-4:1,N58606_m00-m48,N58607,88,25,18.17,18.17,Control,
,III,5,In House,200331-5:0,Control,15,APOE22,female,11/23/14,25.9,5/28/16,18.17,18,1.51,TRUE,200331-5:1,N58604_m00-m48,N58605,96,25,18.17,18.17,Control,
,III,6,In House,200331-7:0,Control,17,APOE22,female,11/23/14,29.3,5/28/16,18.17,18,1.51,TRUE,200331-7:1,N58512_m00-m48,N58513,93,26,18.17,18.17,Control,
,III,7,In House,200331-8:0,Control,18,APOE22,female,11/23/14,26.6,5/28/16,18.17,18,1.51,TRUE,200331-8:1,N58477_m00-m48,N58478,95,24,18.17,18.17,Control,
,III,8,In House,200331-9:0,Control,19,APOE22,female,11/23/14,27.9,5/28/16,18.17,18,1.51,TRUE,200331-9:1,N58500_m00-m48,N58501,100,25,18.17,18.17,Control,
,III,9,In House,200331-10:0,Control,20,APOE22,female,11/23/14,25.7,5/28/16,18.17,18,1.51,TRUE,200331-10:1,N58510_m00-m48,N58511,94,25,18.17,18.17,Control,
,III,10,In House,200331-11:0,Control,21,APOE22,male,11/23/14,28.6,5/28/16,18.17,18,1.51,TRUE,200331-11:1,N58406_m00-m48,N58407,104,27,18.17,18.17,Control,
,III,11,In House,200331-12:0,Control,22,APOE22,male,11/23/14,30.9,5/28/16,18.17,18,1.51,TRUE,200331-12:1,N58408_m00-m48,N58409,117,27,18.17,18.17,Control,
,III,12,In House,200331-13:0,Control,23,APOE22,male,11/23/14,26.6,5/28/16,18.17,18,1.51,TRUE,200331-13:1,N58514_m00-m48,N58515,95,27,18.17,18.17,Control,
,IV,1,In House,201015-1:0           ,Control,?,APOE33HN,male,12/11/15,32,10/14/16,10.1,10,0.84,FALSE,201015-1:1,N58655_m00-m48,N58667,99,24,10.1,10.1,Control,
,IX,1,In House,210624-1:0,Control,210503_1,APOE33,male,10/12/15,33.5,6/30/17,20.6,21,1.72,TRUE,210624-1:1,,,,,,20.6,Control,18.93333333
,IX,2,In House,210624-2:0,Control,210503_2,APOE33,male,10/12/15,39,6/30/17,20.6,21,1.72,TRUE,210624-2:1,,,,,,20.6,Control,18.93333333
,IX,3,In House,210624-3:0,Control,210503_3,APOE33,male,10/12/15,40.3,6/30/17,20.6,21,1.72,TRUE,210624-3:1,,,,,,20.6,Control,18.93333333
,IX,4,In House,210624-4:0,Control,210503_4,APOE33,male,11/1/15,31.3,6/30/17,19.97,20,1.66,TRUE,210624-4:1,,,,,,19.97,Control,18.26666667
,IX,5,In House,210624-5:0,Control,210503_5,APOE33,male,11/1/15,33.3,6/30/17,19.97,20,1.66,TRUE,210624-5:1,,,,,,19.97,Control,18.26666667
,IX,6,In House,210624-6:0,Control,210503_6,APOE33,male,11/1/15,32.9,6/30/17,19.97,20,1.66,TRUE,210624-6:1,N58952_m00-m48,N58953,126,28,,19.97,Control,18.26666667
,IX,7,In House,210624-7:0,Control,210503_7,APOE33,female,11/1/15,27.5,6/30/17,19.97,20,1.66,TRUE,210624-7:1,,,,,,19.97,Control,18.26666667
,IX,8,In House,210624-8:0,Control,210503_8,APOE33,female,11/1/15,32.1,6/30/17,19.97,20,1.66,TRUE,210624-8:1,,,,,,19.97,Control,18.26666667
,IX,9,In House,210624-9:0,Control,210503_9,APOE33,female,11/1/15,30.3,6/30/17,19.97,20,1.66,TRUE,210624-9:1,,,,,,19.97,Control,18.26666667
,IX,10,In House,210624-10:0,Control,210503_11,APOE33,female,11/1/15,30.6,6/30/17,19.97,20,1.66,TRUE,210624-10:1,,,,,,19.97,Control,18.26666667
,IX,11,In House,210624-11:0,Control,210503_12,APOE33,female,11/7/15,30.7,6/30/17,19.77,20,1.65,TRUE,210624-11:1,,,,,,19.77,Control,18.06666667
,IX,12,In House,210624-12:0,Control,210503_13,APOE33,female,11/7/15,30.5,6/23/17,19.2,19,1.6,,210624-12:1,,,,,"Abdominal tumor.  6/30/21 die during image? Did not draw the blood. 7/1/21 dessection find uterus, ovary or kidney tumor. Save haed in formalin+0.5% ProHance",#VALUE!,Control,18.06666667
,IX,13,In House,210624-13:0,Control,210503_14,APOE33,female,11/7/15,27.7,6/23/17,19.2,19,1.6,,210624-13:1,,,,,6/30/21 Die during image. Did not draw the blood. 7/1/21 Save haed in formalin+0.5% ProHance,#VALUE!,Control,18.06666667
,IX,14,In House,210624-14:0,Control,210503_15,APOE33,female,11/7/15,36.5,6/30/17,19.77,20,1.65,TRUE,210624-14:1,,,,,,19.77,Control,18.06666667
,IX,15,In House,210624-15:0,Control,210503_16,APOE33,female,11/7/15,30.1,6/23/17,19.2,19,1.6,,210624-15:1,,,,,"6/30/21 MRI find brain tumor. 7/1/21 wt 30.4g. Lip-I (IV) injection for Micro Ct , 7/6/21 Die during CT. Did not draw the blood. Save haed in formalin+0.5% ProHance",#VALUE!,Control,18.06666667
,IX,16,In House,210624-16:0,Control,210503_17,APOE33,female,7/7/15,35.1,6/23/17,19.2,19,1.6,,210624-16:1,died during imaging,,,,7/1/21 Die during image. Did not draw the blood. 7/2/21 Save haed in formalin+0.5% ProHance,#VALUE!,Control,22.16666667
,V,1,In House,210113-1:0           ,Control,201026_1:0,APOE44HN,female,4/28/15,28.4,1/14/17,20.53,21,1.71,TRUE,210113-1:1,N58706_m00-m48,N58707,105,27,20.53,20.53,Control,18.2
,V,2,In House,210113-2:0           ,Control,201026_2:0,APOE44HN,female,8/11/15,31,1/14/17,17.1,17,1.43,TRUE,210113-2:1,N58708_m00-m48,N58709,107,26,17.1,17.1,Control,14.7
,V,3,In House,210113-3:0           ,Control,201026_3:0,APOE44HN,male,11/29/15,31.8,1/14/17,13.5,14,1.13,FALSE,210113-3:1,N58712_m00-m48,N58713,116,27,13.5,13.5,Control,11.03
,V,4,In House,210113-4:0           ,Control,201026_4:0,APOE44HN,male,4/28/15,28,1/14/17,20.53,21,1.71,TRUE,210113-4:1,N58714_m00-m48,N58715,111,27,20.53,20.53,Control,18.2
,VI,1,In House,210216-1:0           ,Control,?,APOE22HN,male,6/15/16,29.5,2/15/17,8,8,0.67,FALSE,210216-1:1,,,,,8,8,Control,
,VII,1,In House,210118-1:0           ,HFD,201012_1:0,APOE44HN,male,1/14/16,36.4,3/1/17,13.57,14,1.13,FALSE,210118-1:1,N58732_m00-m48,N58736,102,26,13.57,13.57,HFD,11.87
,VII,2,In House,210118-2:0           ,HFD,201012_2:0,APOE44HN,male,1/14/16,35.4,3/1/17,13.57,14,1.13,FALSE,210118-2:1,N58733_m00-m48,N58737,109,26,13.57,13.57,HFD,11.87
,VII,3,In House,210118-3:0           ,HFD,201012_3:0,APOE44HN,male,1/20/16,46.8,3/1/17,13.37,13,1.11,FALSE,210118-3:1,N58734_m00-m48,N58738,113,25,13.37,13.37,HFD,11.67
,VII,4,In House,210118-8:0           ,HFD,201012_8:0,APOE44HN,female,12/24/15,41.2,3/1/17,14.23,14,1.19,FALSE,210118-8:1,N58735_m00-m48,N58739,130,28,14.23,14.23,HFD,12.53
,VII,5,In House,210118-10:0           ,HFD,201012_10:0,APOE44HN,female,12/24/15,34.5,3/1/17,14.23,14,1.19,FALSE,210118-10:1,N58740_m00-m48,N58741,102,26,14.23,14.23,HFD,12.53
,VII,6,In House,210118-11:0           ,HFD,201012_11:0,APOE33HN,female,11/19/15,44.1,3/1/17,15.4,15,1.28,FALSE,210118-11:1,N58742_m00-m48,N58743,106,26,15.4,15.4,HFD,13.7
,VII,7,In House,210118-12:0           ,HFD,201012_12:0,APOE33HN,female,12/8/15,36.6,3/1/17,14.77,15,1.23,FALSE,210118-12:1,N58745_m00-m48,N59113,106,26,14.77,14.77,HFD,13.07
,VII,8,In House,210118-13:0           ,HFD,201012_13:0,APOE33HN,male,2/19/16,31.4,3/1/17,12.4,12,1.03,FALSE,210118-13:1,N58747_m00-m48,N58748,106,26,12.4,12.4,HFD,11.03
,VII,9,In House,210118-15:0           ,HFD,201012_15:0,APOE33,female,12/31/15,42.5,3/1/17,14.03,14,1.17,FALSE,210118-15:1,N58749_m00-m48,N58750,106,26,14.03,14.03,HFD,12.33
,VII,10,In House,210118-16:0           ,HFD,201012_16:0,APOE33,female,12/31/15,41.2,3/1/17,14.03,14,1.17,FALSE,210118-16:1,N58751_m00-m48,N58752,107,26,14.03,14.03,HFD,12.33
,VII,11,In House,210118-4:0           ,HFD,201012_4:0,APOE44HN,female,12/24/15,38.8,3/14/17,14.67,15,1.22,FALSE,210118-4:1,N58779_m00-m48,N58782,104,27,14.67,14.67,HFD,11.87
,VII,12,In House,210118-5:0           ,HFD,201012_5:0,APOE44HN,female,12/24/15,39.8,3/14/17,14.67,15,1.22,FALSE,210118-5:1,N58780_m00-m48,N58781,110,28,,14.67,HFD,11.87
,VII,13,In House,210118-6:0           ,HFD,201012_6:0,APOE44HN,female,12/24/15,39.7,3/14/17,14.67,15,1.22,FALSE,210118-6:1,N58784_m00-m48,N58785,97,27,,14.67,HFD,11.87
,VII,14,In House,210118-7:0           ,HFD,201012_7:0,APOE44HN,female,12/24/15,32.8,3/14/17,14.67,15,1.22,FALSE,210118-7:1,N58788_m00-m48,N58789,104,26,,14.67,HFD,12.53
,VII,15,In House,210118-9:0           ,HFD,201012_9:0,APOE44HN,female,12/24/15,31.9,3/15/17,14.7,15,1.23,FALSE,210118-9:1,N58790_m00-m48,N58791,113,27,,14.7,HFD,12.53
,VII,16,In House,210118-17:0           ,HFD,201012_17:0,APOE33,female,12/31/15,41.3,3/14/17,14.47,14,1.21,FALSE,210118-17:1,N58792_m00-m48,N58793,106,27,,14.47,HFD,12.33
,VII,17,In House,210118-18:0           ,HFD,201012_18:0,APOE33,female,12/31/15,44.3,3/14/17,14.47,14,1.21,FALSE,210118-18:1,N58794_m00-m48,N58795,109,27,,14.47,HFD,12.33
,VII,18,In House,210118-19:0           ,HFD,201012_19:0,APOE33,female,1/1/16,40.3,3/14/17,14.43,14,1.2,FALSE,210118-19:1,N58829_m00-m48,N58830,104,24,d,14.43,HFD,12.3
,VII,19,In House,210118-20:0           ,HFD,201012_20:0,APOE33,female,1/1/16,46.9,3/14/17,14.43,14,1.2,FALSE,210118-20:1,N58813_m00-m48,N58814,106,27,,14.43,HFD,12.3
,VII,20,In House,210118-21:0           ,HFD,201012_21:0,APOE33,female,1/1/16,33.8,3/15/17,14.47,14,1.21,FALSE,210118-21:1,N58815_m00-m48,N58816,104,27,d,14.47,HFD,12.3
,VII,21,In House,210118-22:0           ,HFD,201012_22:0,APOE33,male,1/1/16,46,3/15/17,14.47,14,1.21,FALSE,210118-22:1,N58821_m00-m48,N58822,105,26,d,14.47,HFD,12.3
,VII,22,In House,210118-23:0           ,HFD,201012_23:0,APOE33,male,1/1/16,42,3/15/17,14.47,14,1.21,FALSE,210118-23:1,N58819_m00-m48,N58820,107,26,d,14.47,HFD,12.3
,VII,23,In House,210118-24:0           ,HFD,201012_24:0,APOE33,male,12/31/15,43.8,3/15/17,14.5,15,1.21,FALSE,210118-24:1,N58831_m00-m48,N58832,108,27,d,14.5,HFD,12.33
,VII,24,In House,210118-25:0           ,HFD,201012_25:0,APOE33,male,12/31/15,43.9,3/15/17,14.5,15,1.21,FALSE,210118-25:1,N58851_m00-m48,N58852,111,28,d,14.5,HFD,12.33
,VII,25,In House,210118-26:0           ,HFD,201012_26:0,APOE33,male,12/31/15,54,3/15/17,14.5,15,1.21,FALSE,210118-26:1,N58853_m00-m48,N58854,100,29,d,14.5,HFD,12.33
,VII,26,In House,210118-27:0           ,HFD,201012_27:0,APOE33,male,12/31/15,43.1,3/15/17,14.5,15,1.21,FALSE,210118-27:1,N58855_m00-m48,N58856,106,26,d,14.5,HFD,12.33
,VIII,1,In House,210201-2:0,Control,210201_2,APOE33,female,1/1/16,31.2,6/8/17,17.23,17,1.44,TRUE,210201-2:1,N59003-m00-m48,N59004,64,26, ,17.23,Control,13.2
,VIII,2,In House,210201-3:0,Control,210201_3,APOE33,female,1/1/16,34.6,6/8/17,17.23,17,1.44,TRUE,210201-3:1,,,,,,17.23,Control,13.2
,VIII,3,In House,210201-4:0,Control,210201_4,APOE33,female,1/1/16,33.6,6/8/17,17.23,17,1.44,TRUE,210201-4:1,,,,,,17.23,Control,13.2
