QA,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,Genotype,Sex,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,Age_Handling
,VIII,4,In House,210201-5:0,Control,210201_5,APOE33,female,1/1/16,28.5,6/8/17,17.23,17,1.44,TRUE,210201-5:1,,,,,,17.23,Control,13.2
,VIII,5,In House,210201-6:0,Control,210201_6,APOE44,female,3/3/16,26.3,6/2/17,14.97,15,1.25,FALSE,210201-6:1,N58913_m00-m48,N58914,112,26,,14.97,Control,11.13333333
,VIII,6,In House,210201-7:0,Control,210201_7,APOE44,female,3/3/16,25.7,6/2/17,14.97,15,1.25,FALSE,210201-7:1,N58915_m00-m48,N58916,110,25,,14.97,Control,11.13333333
,VIII,7,In House,210201-8:0,Control,210201_8,APOE44,female,3/3/16,25.2,6/2/17,14.97,15,1.25,FALSE,210201-8:1,N58909_m00-m48,N58910,113,25,AD,14.97,Control,11.13333333
,VIII,8,In House,210201-9:0,Control,210201_9,APOE44,female,3/3/16,25.6,6/2/17,14.97,15,1.25,FALSE,210201-9:1,N58906_m00-m48,N58907,113,25,AD,14.97,Control,11.13333333
,VIII,9,In House,210201-10:0,Control,210201_10,APOE44,female,3/3/16,24.9,6/2/17,14.97,15,1.25,FALSE,210201-10:1,N58883_m00-m48,N58884,107,26,d,14.97,Control,11.13333333
,VIII,10,In House,210201-11:0,Control,210201_11,APOE44,male,3/17/16,29.2,5/26/17,14.3,14,1.19,FALSE,210201-11:1,N58887_m00-m48,N58888,104,24,D,14.3,Control,10.66666667
,VIII,11,In House,210201-12:0,Control,210201_12,APOE44,male,3/17/16,30.9,5/26/17,14.3,14,1.19,FALSE,210201-12:1,N58885_m00-m48,N58886,107,25,D,14.3,Control,10.66666667
,VIII,12,In House,210201-13:0,Control,210201_13,APOE44,male,3/17/16,27.9,5/26/17,14.3,14,1.19,FALSE,210201-13:1,N58919_m00-m48,N58920,109,27,,14.3,Control,10.66666667
,VIII,13,In House,210201-14:0,Control,210201_14,APOE44,male,3/3/16,30.3,5/26/17,14.77,15,1.23,FALSE,210201-14:1,,,,,,14.77,Control,11.13333333
,VIII,14,In House,210201-15:0,Control,210201_15,APOE44,male,3/3/16,31.2,5/26/17,14.77,15,1.23,FALSE,210201-15:1,N58879_m00-m48,N58880,93,25,D,14.77,Control,11.13333333
,VIII,15,In House,210201-16:0,Control,210201_16,APOE44,male,3/3/16,34.1,5/26/17,14.77,15,1.23,FALSE,210201-16:1,N58881_m00-m48,N58882,102,25,D,14.77,Control,11.13333333
,VIII,16,In House,210201-17:0,Control,210201_17,APOE44,male,1/7/16,32.8,6/2/17,16.83,17,1.4,TRUE,210201-17:1,N58889_m00-m48,N58890,109,27,AD,16.83,Control,13
,VIII,17,In House,210201-18:0,Control,210201_18,APOE44,male,1/7/16,30.6,6/2/17,16.83,17,1.4,TRUE,210201-18:1,,,,,,16.83,Control,13
,VIII,18,In House,210201-19:0,Control,210201_19,APOE22HN,male,3/14/16,27,5/24/17,14.33,14,1.19,FALSE,210201-19:1,N58877_m00-m48,N58878,106,28,D,14.33,Control,10.76666667
,VIII,19,In House,210222-1:0,Control,210222_1,APOE33HN,female,3/9/16,29.8,5/24/17,14.5,15,1.21,FALSE,210222-1:1,,,,,,14.5,Control,11.63333333
,VIII,20,In House,210222-2:0,Control,210222_2,APOE33HN,female,3/9/16,28.9,5/24/17,14.5,15,1.21,FALSE,210222-2:1,,,,,,14.5,Control,11.63333333
,VIII,21,In House,210222-3:0,Control,210222_3,APOE33HN,male,3/9/16,32.3,5/24/17,14.5,15,1.21,FALSE,210222-3:1,,,,,,14.5,Control,11.63333333
,VIII,22,In House,210222-4:0,Control,210222_4,APOE33HN,male,3/9/16,35.9,5/24/17,14.5,15,1.21,FALSE,210222-4:1,,,,,,14.5,Control,11.63333333
,VIII,23,In House,210222-5:0,Control,210222_5,APOE33HN,male,3/9/16,32.8,5/24/17,14.5,15,1.21,FALSE,210222-5:1,,,,,,14.5,Control,11.63333333
,VIII,24,In House,210222-6:0,Control,210222_6,APOE33HN,male,3/9/16,33.8,5/24/17,14.5,15,1.21,FALSE,210222-6:1,,,,,,14.5,Control,11.63333333
,VIII,25,In House,210222-7:0,Control,210222_7,APOE33,female,2/22/16,40.9,6/7/17,15.5,16,1.29,FALSE,210222-7:1,N58917_m00-m48,N58918,103,29, ,15.5,Control,12.16666667
,VIII,26,In House,210222-8:0,Control,210222_8,APOE33,female,2/22/16,29,6/7/17,15.5,16,1.29,FALSE,210222-8:1,N58995-m00-m48,N58996,103,26, ,15.5,Control,12.16666667
,VIII,27,In House,210222-9:0,Control,210222_9,APOE33,female,2/22/16,33.2,6/7/17,15.5,16,1.29,FALSE,210222-9:1,N59005-m00-m48,N59006,103,27, ,15.5,Control,12.16666667
,VIII,28,In House,210222-10:0,Control,210222_10,APOE33,female,3/7/16,28.9,6/7/17,15,15,1.25,FALSE,210222-10:1,N58857_m00-m48,N58858,107,25, ,15,Control,11.7
,VIII,29,In House,210222-11:0,Control,210222_11,APOE33,female,3/7/16,28.1,6/7/17,15,15,1.25,FALSE,210222-11:1,N58859_m00-m48,N58860,99,25, ,15,Control,11.7
,VIII,30,In House,210222-12:0,Control,210222_12,APOE33,female,3/7/16,26.8,6/8/17,15.03,15,1.25,FALSE,210222-12:1,N58861_m00-m48,N58862,108,27, ,15.03,Control,11.7
,VIII,31,In House,210222-13:0,Control,210222_13,APOE33,female,3/7/16,33.8,6/8/17,15.03,15,1.25,FALSE,210222-13:1, , , , , ,15.03,Control,11.7
,VIII,32,In House,210222-14:0,Control,210222_14,APOE33,male,3/7/16,34.6,6/8/17,15.03,15,1.25,FALSE,210222-14:1,N59065_m00-m48,N59064,100,26, ,15.03,Control,11.7
,VIII,33,In House,210222-15:0,Control,210222_15,APOE33,male,3/7/16,35.7,6/8/17,15.03,15,1.25,FALSE,210222-15:1,N59066_m00-m48,N59067,107,27, ,15.03,Control,11.7
,VIII,34,In House,210222-16:0,Control,210222_16,APOE22,male,2/17/20,/, 6/7/2021,15.03,15,1.25,,210222-16:1,N59080_m00-m48,N59081,79,20,Did not draw the blood ,15.03,Control,12.36666667
,VIII,35,In House,210222-17:0,Control,210222_17,APOE22,female,2/16/16,28.3,6/7/17,15.7,16,1.31,FALSE,210222-17:1,,,,,,15.7,Control,12.36666667
,X,1,In House,210730-4:0,HFD,210112_2,APOE44HN,female,4/5/16,56.2,7/30/2021                                                 Micro Ct image                                           8/17/21                                                                        ,,0,#VALUE!,,210730-4:1,,,,,,#VALUE!,HFD,12.2
,X,2,In House,210817-1:0,HFD,210112_4,APOE44HN,female,4/5/16,52.6,8/16/17,16.37,16,1.36,TRUE,210817-1:1,N58948_m00-m48,N58949,114,27,,16.37,HFD,12.2
,X,3,In House,210817-2:0,Control,210112_5,APOE44HN,male,4/14/16,28.4,8/16/17,16.07,16,1.34,TRUE,210817-2:1,N59072_m00-m48,N59073,109,27,,16.07,Control,11.9
,X,4,In House,210817-3:0,Control,210112_6,APOE44HN,male,4/14/16,29.5,8/16/17,16.07,16,1.34,TRUE,210817-3:1,N58935_m00-m48,N58936,111,28,,16.07,Control,11.9
,X,5,In House,210817-4:0,Control,210112_7,APOE44HN,male,4/14/16,33.4,8/16/17,16.07,16,1.34,TRUE,210817-4:1,N59039_m00-m48,N59040,109,28,,16.07,Control,11.9
,X,6,In House,210817-5:0,HFD,210112_9,APOE44HN,male,4/20/16,45.3,8/16/17,15.87,16,1.32,FALSE,210817-5:1,N58946_m00-m48,N58947,117,28,,15.87,HFD,11.7
,X,7,In House,210730-3:0,HFD,210112_11,APOE44HN,male,4/20/16,51.1,8/16/17,15.87,16,1.32,FALSE,210730-3:1,N58954_m00-m48,N58955,108,27,,15.87,HFD,11.7
,X,8,In House,210817-6:0,Control,210112_14,APOE44HN,female,4/20/16,30.2,8/16/17,15.87,16,1.32,FALSE,210817-6:1,N59033_m00-m48,N59034,109,28,,15.87,Control,11.7
,X,9,In House,210817-7:0,Control,210112_15,APOE44HN,female,4/20/16,26.5,8/16/17,15.87,16,1.32,FALSE,210817-7:1,N59022_m00-m48,N59023,102,28,,15.87,Control,11.7
,X,10,In House,210817-8:0,Control,210112_16,APOE44HN,female,4/20/16,25.5,8/16/17,15.87,16,1.32,FALSE,210817-8:1,N59035_m00-m48,N59036,107,27,,15.87,Control,11.7
,X,11,In House,210817-9:0,Control,210112_17,APOE44HN,female,4/28/16,25.5,8/16/17,15.6,16,1.3,FALSE,210817-9:1,N59026_m00-m48,N59027,103,26,,15.6,Control,11.43333333
,X,12,In House,210730-5:0,HFD,210112_18,APOE33HN,male,4/27/16,51.8,8/17/17,15.67,16,1.31,FALSE,210730-5:1,N59109_m00-m48,N59110,107,27,,15.67,HFD,11.46666667
,X,13,In House,210817-10:0,HFD,210112_19,APOE33HN,male,4/27/16,53.6,8/18/17,15.7,16,1.31,FALSE,210817-10:1,N59097_m00-m48,N59098,110,26,,15.7,HFD,11.46666667
,X,14,In House,210817-11:0,HFD,210112_20,APOE33HN,male,4/27/16,66.2,8/17/17,15.67,16,1.31,FALSE,210817-11:1,N59099_m00-m48,N59100,109,26,,15.67,HFD,11.46666667
,X,15,In House,210730-6:0,HFD,210112_21,APOE33HN,female,4/27/16,57.7,8/17/17,15.67,16,1.31,FALSE,210730-6:1,N59116_m00-m48,N59117,107,26,,15.67,HFD,11.46666667
,X,16,In House,210817-12:0,HFD,210112_23,APOE33HN,female,3/9/16,54.3,8/17/17,17.27,17,1.44,TRUE,210817-12:1,N59118_m00-m48,N59119,108,26,,17.27,HFD,13.06666667
,X,17,In House,210817-13:0,HFD,210112_24,APOE33HN,female,4/28/16,52.2,8/17/17,15.63,16,1.3,FALSE,210817-13:1,N59120_m00-m48,N59121,109,27,,15.63,HFD,11.46666667
,X,18,In House,210817-14:0,HFD,210112_25,APOE44,male,4/5/16,51.2,8/17/17,16.4,16,1.37,TRUE,210817-14:1,,,,,,16.4,HFD,12.2
,X,19,In House,210730-7:0,HFD,210112_26,APOE44,male,4/5/16,50.3,8/18/17,16.43,16,1.37,TRUE,210730-7:1,,,,,,16.43,HFD,12.2
,X,20,In House,210730-8:0,HFD,210112_27,APOE44,female,4/5/16,50.7,8/17/17,16.4,16,1.37,TRUE,210730-8:1,,,,,,16.4,HFD,12.2
,X,21,In House,210817-15:0,HFD,210112_28,APOE44,female,4/5/16,45.1,8/17/17,16.4,16,1.37,TRUE,210817-15:1,,,,,,16.4,HFD,12.2
,X,22,In House,210817-16:0,HFD,210112_29,APOE44,female,4/15/16,34.6,8/17/17,16.07,16,1.34,TRUE,210817-16:1,,,,,,16.07,HFD,11.86666667
,X,23,In House,210817-17:0,HFD,210112_1,APOE44HN,female,4/5/16,49.3,8/18/17,16.43,16,1.37,TRUE,210817-17:1,,,,,,16.43,HFD,12.2
,X,24,In House,210817-18:0,Control,210112_8,APOE44HN,male,4/14/16,26.6,8/17/17,16.1,16,1.34,TRUE,210817-18:1,N59041_m00-m48,N59042,105,26,,16.1,Control,11.9
,X,25,In House,210817-19:0,HFD,210112_12,APOE44HN,male,4/20/16,49.9,8/18/17,15.93,16,1.33,FALSE,210817-19:1,N58941_m00-m48,N58942,109,26,,15.93,HFD,11.7
,XI,1,In House,211001-1:0,Control,210503_18,APOE22,male,5/11/16,38.6,9/30/17,16.63,17,1.39,TRUE,211001-1:1,,,,,,16.63,Control,11.86666667
,XI,2,In House,211001-2:0,Control,210503_19,APOE22,male,5/11/16,33.1,9/30/17,16.63,17,1.39,TRUE,211001-2:1,,,,,,16.63,Control,11.86666667
,XI,3,In House,211001-3:0,Control,210503_20,APOE22,male,5/11/16,36.2,9/30/17,16.63,17,1.39,TRUE,211001-3:1,,,,,,16.63,Control,11.86666667
,XI,4,In House,211001-4:0,Control,210503_21,APOE22,female,5/11/16,28.8,9/30/17,16.63,17,1.39,TRUE,211001-4:1,,,,,,16.63,Control,11.86666667
,XI,5,In House,211001-5:0,Control,210503_22,APOE22,female,5/11/16,25.8,9/30/17,16.63,17,1.39,TRUE,211001-5:1,,,,,,16.63,Control,11.86666667
,XI,6,In House,211001-6:0,HFD,210614_2,APOE22HN,female,6/28/16,40.9,9/30/17,15.07,15,1.26,FALSE,211001-6:1,,,,,,15.07,HFD,11.66666667
,XI,7,In House,211001-7:0,HFD,210614_3,APOE22HN,female,6/28/16,33.9,9/30/17,15.07,15,1.26,FALSE,211001-7:1,,,,,,15.07,HFD,11.66666667
,XI,8,In House,211001-8:0,HFD,210614_4,APOE22HN,female,6/28/16,27.3,9/30/17,15.07,15,1.26,FALSE,211001-8:1,,,,,,15.07,HFD,11.66666667
,XI,9,In House,211001-9:0,HFD,210614_5,APOE22HN,female,6/28/16,28.2,9/30/17,15.07,15,1.26,FALSE,211001-9:1,,,,,,15.07,HFD,11.66666667
,XI,10,In House,210730-2:0,HFD,210614_1,APOE22HN,female,6/28/16,36.6,9/30/17,15.07,15,1.26,FALSE,210730-2:1,,,,,,15.07,HFD,11.66666667
,XI,11,In House,211001-10:0,HFD,210614_8,APOE33HN,male ,6/19/16,52.1,10/5/17,15.77,16,1.333333333,,211001-10:1,N59136_m00-m48,N59137,108,27,,15.77,HFD,11.96666667
,XI,12,In House,211001-11:0,HFD,210614_9 ,APOE33HN,male ,6/19/16,47.3,10/5/17,15.77,16,1.333333333,,211001-11:1,N59140_m00-m48,N59139,106,26,,15.77,HFD,11.96666667
,XI,13,In House,211001-12:0,HFD,210614_10 ,APOE33HN,male ,6/19/16,46.4,10/5/17,15.77,16,1.333333333,,211001-12:1,,,,,,15.77,HFD,11.96666667
,XI,14,In House,211001-13:0,HFD,210614_11 ,APOE33HN,male ,6/19/16,45.2,10/5/17,15.77,16,1.333333333,,211001-13:1,,,,,,15.77,HFD,11.96666667
,XI,15,In House,211001-14:0,HFD,210614_12 ,APOE33HN,male,6/19/16,47.1,10/5/17,15.77,16,1.333333333,,211001-14:1,,,,,,15.77,HFD,11.96666667
,XI,16,In House,211001-15:0,Control,210614_22 ,APOE33HN,male,6/19/16,34.6,10/5/17,15.77,16,1.333333333,,211001-15:1,,,,,,15.77,Control,11.96666667
,XI,17,In House,211001-16:0,Control,210614_23 ,APOE33HN,male,6/19/16,33,10/5/17,15.77,16,1.333333333,,211001-16:1,,,,,,15.77,Control,11.96666667
,XI,18,In House,211001-17:0,Control,210614_24 ,APOE33HN,male,6/19/16,35,10/5/17,15.77,16,1.333333333,,211001-17:1,,,,,,15.77,Control,11.96666667
,XI,19,In House,211001-18:0,Control,210614_25 ,APOE33HN,male,6/19/16,32.8,10/5/17,15.77,16,1.333333333,,211001-18:1,,,,,,15.77,Control,11.96666667
,XI,20,In House,211001-19:0,Control,210614_26 ,APOE33HN,male,6/19/16,36.8,10/5/17,15.77,16,1.333333333,,211001-19:1,,,,,,15.77,Control,11.96666667
,XI,21,In House,211001-20:0,HFD,210614_13 ,APOE33HN,female ,6/19/16,44.8,10/7/17,15.83,16,1.333333333,,211001-20:1,N59141_m00-m48,N59142,111,26,,15.83,HFD,11.96666667
,XI,22,In House,211001-21:0,HFD,210614_14 ,APOE33HN,female ,6/19/16,53.8,10/7/17,15.83,16,1.333333333,,211001-21:1,,,,,,15.83,HFD,11.96666667
,XI,23,In House,211001-22:0,HFD,210614_15 ,APOE33HN,female ,6/19/16,46,10/7/17,15.83,16,1.333333333,,211001-22:1,,,,,,15.83,HFD,11.96666667
,XI,24,In House,211001-23:0,HFD,210614_16 ,APOE33HN,female ,6/19/16,47.1,10/7/17,15.83,16,1.333333333,,211001-23:1,,,,,,15.83,HFD,11.96666667
,XI,25,In House,211001-24:0,HFD,210614_31 ,APOE33HN,female ,6/19/16,52,10/7/17,15.83,16,1.333333333,,211001-24:1,,,,,,15.83,HFD,11.96666667
,XI,26,In House,210730-1:0,HFD,210614_6 ,APOE22HN,male,6/28/16,38.1,10/4/17,15.43,15,1.25,,210730-1:1,,,,,,15.43,HFD,11.66666667
,XI,27,In House,211001-25:0,HFD,210614_7 ,APOE22HN,male,6/28/16,31.2,10/4/17,15.43,15,1.25,,211001-25:1,,,,,,15.43,HFD,11.66666667
,XI,28,In House,211001-26:0,Control,210614_17 ,APOE33HN,female,6/15/16,26.7,10/4/17,15.87,16,1.333333333,,211001-26:1,,,,,,15.87,Control,12.1
,XI,29,In House,211001-27:0,Control,210614_18 ,APOE33HN,female,6/15/16,26.8,10/4/17,15.87,16,1.333333333,,211001-27:1,,,,,,15.87,Control,12.1
,XI,30,In House,211001-28:0,Control,210614_19 ,APOE33HN,female,6/15/16,28.7,10/4/17,15.87,16,1.333333333,,211001-28:1,,,,,,15.87,Control,12.1
,XI,31,In House,211001-29:0,Control,210614_20 ,APOE33HN,female,6/15/16,30,10/4/17,15.87,16,1.333333333,,211001-29:1,,,,,,15.87,Control,12.1
,XI,32,In House,211001-30:0,Control,210614_21,APOE33HN,female,6/15/16,34.3,10/4/17,15.87,16,1.333333333,,211001-30:1,,,,,,15.87,Control,12.1
,XI,33,In House,211001-31:0,Control,210614_27 ,APOE33HN,male,6/27/16,31.8,10/4/17,15.47,15,1.25,,211001-31:1,,,,,,15.47,Control,11.7
,XI,34,In House,211001-32:0,Control,210614_28 ,APOE33HN,male,6/27/16,33.3,10/4/17,15.47,15,1.25,,211001-32:1,,,,,,15.47,Control,11.7
,XI,35,In House,211001-33:0,Control,210614_29 ,APOE33HN,male,6/27/16,32,10/4/17,15.47,15,1.25,,211001-33:1,,,,,,15.47,Control,11.7
,XI,36,In House,211001-34:0,Control,210614_30 ,APOE33HN,male,6/27/16,29.5,10/4/17,15.47,15,1.25,,211001-34:1,,,,,,15.47,Control,11.7
,XI,37,Colton lab,211001-35:0,,Cage 1414913_1,CVN,male ,9/6/16,28.6,10/6/17,,,,,211001-35:1,,,,,,,,
,XI,38,Colton lab,211001-36:0,,Cage 1248386_1,CVN,male ,9/12/16,29.1,10/6/17,,,,,211001-36:1,,,,,,,,
,XI,39,Colton lab,211001-37:0,,Cage 1248386_2,CVN,male,9/12/16,28.5,10/6/17,,,,,211001-37:1,,,,,,,,
,XI,40,Colton lab,211001-38:0,,Cage 1248386_3,CVN,male ,9/12/16,29.6,10/6/17,,,,,211001-38:1,,,,,,,,
,XI,41,Colton lab,211001-39:0,,Cage 1248386_4,CVN,male ,9/12/16,26.1,10/6/17,,,,,211001-39:1,,,,,,,,
,XI,42,Colton lab,211001-40:0,,Cage 1170422_1,CVN,male ,9/27/16,31.9,10/6/17,,,,,211001-40:1,,,,,,,,
,XI,43,Colton lab,211001-41:0,,Cage 1170422_2,CVN,male ,9/27/16,32.4,10/6/17,,,,,211001-41:1,,,,,,,,
,XI,44,Colton lab,211001-42:0,,Cage 1170422_3,CVN,male ,9/27/16,30.6,10/6/17,,,,,211001-42:1,,,,,,,,
,XI,45,Colton lab,211001-43:0,,Cage 1170422_4,CVN,male ,9/27/16,29.3,10/6/17,,,,,211001-43:1,,,,,,,,
,XI,46,Colton lab,211001-44:0,,Cage 1170422_5,CVN,male ,9/27/16,32.4,10/6/17,,,,,211001-44:1,,,,,,,,
,XII,1,In House,210809-1:0,Control,210809_2,APOE33HN,female,8/23/16,22.3,11/9/17,14.77,15,1.25,,210809-1:1,,,,,,14.77,Control,11.66666667
,XII,2,In House,210809-2:0,Control,210809_3,APOE33HN,female,8/23/16,24.4,11/9/17,14.77,15,1.25,,210809-2:1,,,,,,14.77,Control,11.66666667
,XII,3,In House,210809-3:0,Control,210809_4,APOE33HN,female,9/2/16,30.1,11/9/17,14.43,15,1.25,,210809-3:1,,,,,,14.43,Control,11.33333333
,XII,4,In House,210809-4:0,HFD,210809_5,APOE22HN,male,8/15/16,34.7,11/9/17,15.03,15,1.25,,210809-4:1,,,,,,15.03,HFD,11.93333333
,XII,5,In House,210809-5:0,HFD,210809_6,APOE22HN,male,8/15/16,42,11/9/17,15.03,15,1.25,,210809-5:1,,,,,,15.03,HFD,11.93333333
,XII,6,In House,210809-6:0,HFD,210809_7,APOE22HN,male,8/15/16,30.9,11/9/17,15.03,15,1.25,,210809-6:1,,,,,,15.03,HFD,11.93333333
,XII,7,In House,210809-7:0,HFD,210809_8,APOE22HN,male,8/15/16,44.9,11/9/17,15.03,15,1.25,,210809-7:1,,,,,,15.03,HFD,11.93333333
,XII,8,In House,210906-1:0,Control,210906_1,APOE22HN,female,9/6/16,23.5,11/10/17,14.33,14,1.166666667,,210906-1:1,,,,,,14.33,Control,12.13333333
,XII,9,In House,210906-2:0,Control,210906_2,APOE22HN,female,9/6/16,22,11/10/17,14.33,14,1.166666667,,210906-2:1,,,,,,14.33,Control,12.13333333
,XII,10,In House,210906-3:0,Control,210906_3,APOE22HN,female,9/6/16,27,11/10/17,14.33,14,1.166666667,,210906-3:1,,,,,,14.33,Control,12.13333333
,XII,11,In House,210906-4:0,Control,210906_4,APOE22HN,female,9/6/16,26.1,11/9/17,14.3,14,1.166666667,,210906-4:1,,,,,,14.3,Control,12.13333333
,XII,12,In House,210906-5:0,Control,210906_5,APOE22HN,female,9/6/16,26.1,11/10/17,14.33,14,1.166666667,,210906-5:1,,,,,,14.33,Control,12.13333333
,XII,13,In House,210906-6:0,Control,210906_6,APOE22HN,male,9/27/16,34.5,11/10/17,13.63,14,1.166666667,,210906-6:1,,,,,,13.63,Control,11.43333333
,XII,14,In House,210906-7:0,Control,210906_7,APOE22HN,female,9/20/16,25.7,11/9/17,13.83,14,1.166666667,,210906-7:1,,,,,,13.83,Control,11.66666667
,XII,15,In House,210906-8:0,Control,210906_8,APOE22HN,female,9/20/16,27.8,11/9/17,13.83,14,1.166666667,,210906-8:1,,,,,,13.83,Control,11.66666667
,XII,16,In House,210906-9:0,HFD,210906_9,APOE44,female ,9/7/16,37.3,11/16/17,14.5,15,1.25,,210906-9:1,,,,,,14.5,HFD,12.1
,XII,17,In House,210906-10:0,HFD,210906_10,APOE44,female ,9/7/16,42.7,11/16/17,14.5,15,1.25,,210906-10:1,,,,,,14.5,HFD,12.1
,XII,18,In House,210906-11:0,HFD,210906_11,APOE44,female ,9/7/16,29.4,11/16/17,14.5,15,1.25,,210906-11:1,,,,,,14.5,HFD,12.1
,XII,19,In House,210906-12:0,HFD,210906_12,APOE44,female,9/7/16,36.3,11/16/17,14.5,15,,,210906-12:1,,,,,,14.5,HFD,12.1
,XII,20,In House,210906-13:0,HFD,210906_13,APOE44,female,9/7/16,33,11/16/17,14.5,15,,,210906-13:1,,,,,,14.5,HFD,12.1
,XII,21,In House,210906-14:0,HFD,210906_14,APOE44,female,10/2/16,28.2,11/16/17,13.67,14,1.166666667,,210906-14:1,,,,,,13.67,HFD,11.26666667
